 ,background,Barcode,Label,Color chart,Scale
background,355017964,525448,1814710,847324,834099
Barcode,2445426,6216156,3084962,539091,469323
Label,10300718,776840,63658446,1845149,1414019
Color chart,3311028,1918769,692274,41854008,4218740
Scale,5218547,229414,1185394,2224972,60408461
